 	Syn_Sim	Syn_real	LR_Sim	LR_real
0.03	0.190296051	0.222672009	0.17537684	0.212070923
0.06	0.189228932	0.221047801	0.174393384	0.210469448
0.08	0.188521012	0.219423594	0.173740965	0.208867974
0.11	0.187464391	0.217799386	0.172767183	0.2072665
0.14	0.186414103	0.216175179	0.171799237	0.205665026
0.17	0.185370175	0.214550972	0.170837153	0.204063551
0.2	0.184332632	0.212926764	0.169880954	0.202462077
0.22	0.183644498	0.211302557	0.16924677	0.200860603
0.25	0.182617657	0.209678349	0.168300433	0.199259129
0.28	0.181597272	0.208054142	0.167360046	0.197657654
0.31	0.180583369	0.206429934	0.166425633	0.19605618
0.33	0.179911047	0.204805727	0.165806021	0.194454706
0.36	0.178908006	0.203181519	0.164881618	0.192853232
0.39	0.177911516	0.201557312	0.163963253	0.191251757
0.42	0.176921605	0.199933104	0.163050951	0.189650283
0.45	0.175938297	0.198308897	0.162144735	0.188048809
0.47	0.175286441	0.19668469	0.161543984	0.186447335
0.5	0.1743142	0.195060482	0.160647966	0.18484586
0.53	0.173348632	0.193436275	0.159758099	0.183244386
0.56	0.172389765	0.191812067	0.158874408	0.181642912
0.59	0.171437625	0.19018786	0.157996915	0.180041438
0.61	0.170806615	0.188563652	0.157415377	0.178439963
0.64	0.169865744	0.186939445	0.15654827	0.176838489
0.67	0.16893167	0.185315237	0.155687427	0.175237015
0.7	0.168004419	0.18369103	0.154832873	0.173635541
0.73	0.167084017	0.182066822	0.15398463	0.171034066
0.75	0.166474234	0.180442615	0.153422654	0.170432592
0.78	0.165565253	0.178818408	0.152584937	0.168831118
0.81	0.164662932	0.1771942	0.151753358	0.167229644
0.84	0.163767205	0.175598674	0.150927856	0.165628169
0.86	0.163173692	0.17391677	0.150380875	0.164036509
0.89	0.162288842	0.172293565	0.149565397	0.162405593
0.92	0.161410449	0.170725717	0.14875587	0.160833561
0.95	0.160538462	0.169209885	0.147952246	0.159316865
0.98	0.159672828	0.167742728	0.147154478	0.157851958
1	0.159099242	0.166320904	0.146625862	0.15643529
